%@2-E(SYM=1 ADR=2 CM1=3 CM2=4)
iLLUB,X0004.0,level central lubrication,
iPLUB,X0004.1,lubrication pressure ok,
iK_ESP,X0008.4,button emergency stop,
iF_S_OVR0,X0100.6,op55: spindle override bit0,
iF_S_OVR1,X0100.7,op55: spindle override bit1,
iF_S_OVR2,X0101.0,op55: spindle override bit2,
iF_PKEY,X0101.4,op55: input protect key,
iF_K_A01,X0104.0,op55: key A01,
iF_K_A02,X0104.1,op55: key A02,
iF_K_A03,X0104.2,op55: key A03,
iF_K_A04,X0104.3,op55: key A04,
iF_K_B01,X0104.4,op55: key B01,
iF_K_B02,X0104.5,op55: key B02,
iF_K_B03,X0104.6,op55: key B03,
iF_K_B04,X0104.7,op55: key B04,
iF_K_C01,X0105.0,op55: key C01,
iF_K_C02,X0105.1,op55: key C02,
iF_K_C03,X0105.2,op55: key C03,
iF_K_C04,X0105.3,op55: key C04,
iF_K_D01,X0105.4,op55: key D01,
iF_K_D02,X0105.5,op55: key D02,
iF_K_D03,X0105.6,op55: key D03,
iF_K_D04,X0105.7,op55: key D04,
iF_K_E01,X0106.0,op55: key E01,
iF_K_E02,X0106.1,op55: key E02,
iF_K_A05,X0106.4,op55: key A05,
iF_K_A06,X0106.5,op55: key A06,
iF_K_A07,X0106.6,op55: key A07,
iF_K_A08,X0106.7,op55: key A08,
iF_K_B05,X0107.0,op55: key B05,
iF_K_B06,X0107.1,op55: key B06,
iF_K_B07,X0107.2,op55: key B07,
iF_K_B08,X0107.3,op55: key B08,
iF_K_C05,X0107.4,op55: key C05,
iF_K_C06,X0107.5,op55: key C06,
iF_K_C07,X0107.6,op55: key C07,
iF_K_C08,X0107.7,op55: key C08,
iF_K_D05,X0108.0,op55: key D05,
iF_K_D06,X0108.1,op55: key D06,
iF_K_D07,X0108.2,op55: key D07,
iF_K_D08,X0108.3,op55: key D08,
iF_K_E05,X0108.4,op55: key E05,
iF_K_E06,X0108.5,op55: key E06,
iF_K_E07,X0108.6,op55: key E07,
iF_K_E08,X0108.7,op55: key E08,
iF_K_A09,X0109.0,op55: key A09,
iF_K_A10,X0109.1,op55: key A10,
iF_K_A11,X0109.2,op55: key A11,
iF_K_B09,X0109.4,op55: key B09,
iF_K_B10,X0109.5,op55: key B10,
iF_K_B11,X0109.6,op55: key B11,
iF_K_C09,X0110.0,op55: key C09,
iF_K_C10,X0110.1,op55: key C10,
iF_K_C11,X0110.2,op55: key C11,
iF_K_D09,X0110.4,op55: key D09,
iF_K_D10,X0110.5,op55: key D10,
iF_K_D11,X0110.6,op55: key D11,
iF_K_E09,X0111.0,op55: key E09,
iF_K_E10,X0111.1,op55: key E10,
iF_K_E11,X0111.2,op55: key E11,
oLUB,Y0010.1,output lubrication on,
oF_L_A01,Y0100.0,op55: led A01,
oF_L_A02,Y0100.1,op55: led A02,
oF_L_A03,Y0100.2,op55: led A03,
oF_L_A04,Y0100.3,op55: led A04,
oF_L_B01,Y0100.4,op55: led B01,
oF_L_B02,Y0100.5,op55: led B02,
oF_L_B03,Y0100.6,op55: led B03,
oF_L_B04,Y0100.7,op55: led B04,
oF_L_C01,Y0101.0,op55: led C01,
oF_L_C02,Y0101.1,op55: led C02,
oF_L_C03,Y0101.2,op55: led C03,
oF_L_C04,Y0101.3,op55: led C04,
oF_L_D01,Y0101.4,op55: led D01,
oF_L_D02,Y0101.5,op55: led D02,
oF_L_D03,Y0101.6,op55: led D03,
oF_L_D04,Y0101.7,op55: led D04,
oF_L_E01,Y0102.0,op55: led E01,
oF_L_E02,Y0102.1,op55: led E02,
oF_L_E03,Y0102.2,op55: led E03,
oF_L_A05,Y0102.4,op55: led A05,
oF_L_A06,Y0102.5,op55: led A06,
oF_L_A07,Y0102.6,op55: led A07,
oF_L_A08,Y0102.7,op55: led A08,
oF_L_B05,Y0103.0,op55: led B05,
oF_L_B06,Y0103.1,op55: led B06,
oF_L_B07,Y0103.2,op55: led B07,
oF_L_B08,Y0103.3,op55: led B08,
oF_L_C05,Y0103.4,op55: led C05,
oF_L_C06,Y0103.5,op55: led C06,
oF_L_C07,Y0103.6,op55: led C07,
oF_L_C08,Y0103.7,op55: led C08,
oF_L_D05,Y0104.0,op55: led D05,
oF_L_D06,Y0104.1,op55: led D06,
oF_L_D07,Y0104.2,op55: led D07,
oF_L_D08,Y0104.3,op55: led D08,
oF_L_E05,Y0104.4,op55: led E05,
oF_L_E06,Y0104.5,op55: led E06,
oF_L_E07,Y0104.6,op55: led E07,
oF_L_E08,Y0104.7,op55: led E08,
oF_L_A09,Y0105.0,op55: led A09,
oF_L_A10,Y0105.1,op55: led A10,
oF_L_A11,Y0105.2,op55: led A11,
oF_L_B09,Y0105.4,op55: led B09,
oF_L_B10,Y0105.5,op55: led B10,
oF_L_B11,Y0105.6,op55: led B11,
oF_L_C09,Y0106.0,op55: led C09,
oF_L_C10,Y0106.1,op55: led C10,
oF_L_C11,Y0106.2,op55: led C11,
oF_L_D09,Y0106.4,op55: led D09,
oF_L_D10,Y0106.5,op55: led D10,
oF_L_D11,Y0106.6,op55: led D11,
oF_L_E09,Y0107.0,op55: led E09,
oF_L_E10,Y0107.1,op55: led E10,
oF_L_E11,Y0107.2,op55: led E11,
RWD_P01,F0000.0,P01:rewinding signal,
SPL_P01,F0000.4,P01:feed hold lamp signal,
STL_P01,F0000.5,P01:cycle start lamp signal,
SA_P01,F0000.6,P01:servo ready signal,
OP_P01,F0000.7,P01:automatic operation lamp,
AL_P01,F0001.0,P01:alarm signal,
RST_P01,F0001.1,P01:resetting signal,
BAL_P01,F0001.2,P01:battery alarm signal,
DEN_P01,F0001.3,P01:distribution end signal,
MA_P01,F0001.7,P01:cnc ready signal,
